T:StockSharp.BitZ.BitZMessageAdapter/summary;DocStr2538
P:StockSharp.BitZ.BitZMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.BitZ.BitZMessageAdapter.Key/summary;Str3304
P:StockSharp.BitZ.BitZMessageAdapter.Secret/summary;DocStr3146
P:StockSharp.BitZ.BitZMessageAdapter.AdminPassword/summary;AdminPassword
P:StockSharp.BitZ.BitZMessageAdapter.Domain/summary;Str3486
P:StockSharp.BitZ.BitZMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.BitZ.BitZMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.BitZ.BitZMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.BitZ.BitZMessageAdapter.ToString/inheritdoc;DocStr8459
M:StockSharp.BitZ.BitZMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.BitZ.BitZMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.BitZ.BitZMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.BitZ.BitZTrader/summary;DocStr2539
M:StockSharp.BitZ.BitZTrader.#ctor/summary;DocStr1
P:StockSharp.BitZ.BitZTrader.Key/summary;Str3304
P:StockSharp.BitZ.BitZTrader.Secret/summary;DocStr3146
P:StockSharp.BitZ.BitZTrader.AdminPassword/summary;AdminPassword
P:StockSharp.BitZ.BitZTrader.BalanceCheckInterval/summary;BalanceCheckInterval
