T:StockSharp.CoinBene.CoinBeneMessageAdapter/summary;DocStr2538
M:StockSharp.CoinBene.CoinBeneMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.CoinBene.CoinBeneMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.CoinBene.CoinBeneMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.CoinBene.CoinBeneMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.CoinBene.CoinBeneMessageAdapter.SupportedOrderBookDepths/inheritdoc;DocStr8459
P:StockSharp.CoinBene.CoinBeneMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
M:StockSharp.CoinBene.CoinBeneMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.CoinBene.CoinBeneMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.CoinBene.CoinBeneMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.CoinBene.CoinBeneMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.CoinBene.CoinBeneMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.CoinBene.CoinBeneMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.CoinBene.CoinBeneMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.CoinBene.CoinBeneMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.CoinBene.CoinBeneMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.CoinBene.CoinBeneMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.CoinBene.CoinBeneOrderCondition/summary;DocStr60
M:StockSharp.CoinBene.CoinBeneOrderCondition.#ctor/summary;DocStr1
P:StockSharp.CoinBene.CoinBeneOrderCondition.Leverage/summary;Leverage
P:StockSharp.CoinBene.CoinBeneOrderCondition.PostOnly/summary;PostOnlyOrder
P:StockSharp.CoinBene.CoinBeneOrderCondition.MarginMode/summary;DocStr10814
T:StockSharp.CoinBene.CoinBeneTrader/summary;DocStr2539
M:StockSharp.CoinBene.CoinBeneTrader.#ctor/summary;DocStr1
P:StockSharp.CoinBene.CoinBeneTrader.Key/summary;Str3304
P:StockSharp.CoinBene.CoinBeneTrader.Secret/summary;DocStr3146
P:StockSharp.CoinBene.CoinBeneTrader.BalanceCheckInterval/summary;BalanceCheckInterval
