T:StockSharp.LBank.LBankMessageAdapter/summary;DocStr2538
P:StockSharp.LBank.LBankMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.LBank.LBankMessageAdapter.Key/summary;Str3304
P:StockSharp.LBank.LBankMessageAdapter.Secret/summary;DocStr3146
P:StockSharp.LBank.LBankMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.LBank.LBankMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.LBank.LBankMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.LBank.LBankMessageAdapter.ToString/inheritdoc;DocStr8459
M:StockSharp.LBank.LBankMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.LBank.LBankMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.LBank.LBankMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.LBank.LBankOrderCondition/summary;DocStr60
M:StockSharp.LBank.LBankOrderCondition.#ctor/summary;DocStr1
T:StockSharp.LBank.LBankTrader/summary;DocStr2539
M:StockSharp.LBank.LBankTrader.#ctor/summary;DocStr1
P:StockSharp.LBank.LBankTrader.Key/summary;Str3304
P:StockSharp.LBank.LBankTrader.Secret/summary;DocStr3146
P:StockSharp.LBank.LBankTrader.BalanceCheckInterval/summary;BalanceCheckInterval
