T:StockSharp.Yobit.YobitMessageAdapter/summary;DocStr2538
M:StockSharp.Yobit.YobitMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Yobit.YobitMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Yobit.YobitMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.Yobit.YobitMessageAdapter.SupportedOrderBookDepths/inheritdoc;DocStr8459
M:StockSharp.Yobit.YobitMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Yobit.YobitMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Yobit.YobitMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Yobit.YobitMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Yobit.YobitMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Yobit.YobitMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Yobit.YobitMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Yobit.YobitMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Yobit.YobitMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Yobit.YobitOrderCondition/summary;DocStr60
M:StockSharp.Yobit.YobitOrderCondition.#ctor/summary;DocStr1
T:StockSharp.Yobit.YobitTrader/summary;DocStr2539
M:StockSharp.Yobit.YobitTrader.#ctor/summary;DocStr1
P:StockSharp.Yobit.YobitTrader.Key/summary;Str3304
P:StockSharp.Yobit.YobitTrader.Secret/summary;DocStr3146
P:StockSharp.Yobit.YobitTrader.BalanceCheckInterval/summary;BalanceCheckInterval
