T:StockSharp.Zaif.ZaifMessageAdapter/summary;DocStr2538
P:StockSharp.Zaif.ZaifMessageAdapter.Key/summary;Str3304
P:StockSharp.Zaif.ZaifMessageAdapter.Secret/summary;DocStr3146
P:StockSharp.Zaif.ZaifMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Zaif.ZaifMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Zaif.ZaifMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Zaif.ZaifMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Zaif.ZaifMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Zaif.ZaifMessageAdapter.ToString/summary;DocStr49
M:StockSharp.Zaif.ZaifMessageAdapter.ToString/returns;DocStr50
M:StockSharp.Zaif.ZaifMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Zaif.ZaifMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Zaif.ZaifMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.Zaif.ZaifOrderCondition/summary;DocStr60
M:StockSharp.Zaif.ZaifOrderCondition.#ctor/summary;DocStr1
T:StockSharp.Zaif.ZaifTrader/summary;DocStr2539
M:StockSharp.Zaif.ZaifTrader.#ctor/summary;DocStr1
P:StockSharp.Zaif.ZaifTrader.Key/summary;Str3304
P:StockSharp.Zaif.ZaifTrader.Secret/summary;DocStr3146
P:StockSharp.Zaif.ZaifTrader.BalanceCheckInterval/summary;BalanceCheckInterval
